#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 15:37:04.722
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 8193
#Rate: 40000 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Blackman-Harris
#Channel: C1
#Range: 5.20963 V
#Offset: 4.3754e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.22099 V
#Offset: 0.000263673 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-41.98857961903055,0
2.44140625,-45.32140334837428,179.5428598280363
4.8828125,-56.05937123954949,179.2075255474686
7.32421875,-78.00753549355724,12.29685104779625
9.765625,-85.93197897621332,113.4831998951076
12.20703125,-91.53621903710996,95.78920321831963
14.6484375,-84.7184872728368,153.8881108676321
17.08984375,-78.78917320850039,142.6779056419742
19.53125,-80.28634182606379,149.3996220633989
21.97265625,-84.6616391637983,33.28677685633917
24.4140625,-78.84146638327871,97.22494657663867
26.85546875,-75.3559249415836,116.1017932641202
29.296875,-75.47316990677214,111.7227716378833
31.73828125,-77.8592576915262,86.42772266331733
34.1796875,-79.96707383372731,54.12989614571264
36.62109375,-81.81500334606557,30.27961071961208
39.0625,-83.71699005278796,11.65280331541006
41.50390625,-84.35902827428367,1.901225071088316
43.9453125,-81.80916151797184,28.94867330705536
46.38671875,-74.70927283282704,73.49384459794292
48.828125,-70.16330397743546,98.48918543774916
51.26953125,-70.85030879949284,124.5369174699221
53.7109375,-73.01301234918664,168.3468123882025
56.15234375,-73.23963608938398,22.08505498299191
58.59375,-74.02078059835259,45.01162795099116
61.03515625,-74.9132370959841,61.98487466401868
63.4765625,-76.07394926599591,77.21149238441505
65.91796875,-77.95280780628299,93.54120039868229
68.359375,-82.12881147762387,109.8492219272851
70.80078125,-84.88024305082203,135.492318587929
73.2421875,-85.2755906507746,153.2215132182749
75.68359375,-87.39676165056611,11.75520838854841
78.125,-83.38018618921764,41.26201186637884
80.56640625,-80.8757668773992,36.7646664388981
83.0078125,-80.72443407808804,24.95781477202446
85.44921875,-80.95176544601679,14.29626910832705
87.890625,-82.63000259008354,25.83606043457961
90.33203125,-84.28358451267567,57.58288527429401
92.7734375,-87.58579554773104,75.6395399576997
95.21484375,-90.00779056712405,130.7813958490415
97.65625,-84.90600904316207,163.6273640123624
100.09765625,-84.37203130044209,11.9192186568811
102.5390625,-86.0744264702127,37.93376442063024
104.98046875,-111.3559876346797,64.65730214779705
107.421875,-84.68278388967647,47.88811974091615
109.86328125,-81.15631343263726,59.42549434852008
112.3046875,-81.95733474073492,74.54340210912795
114.74609375,-87.82704852833241,76.77287340267479
117.1875,-96.15553859838607,131.1883700609822
119.62890625,-87.95190836259694,83.56633046168746
122.0703125,-87.45894639462875,50.22101823024176
124.51171875,-94.99940893721556,164.9217915324209
126.953125,-85.20687276763439,70.27293127938833
129.39453125,-80.55263996392253,63.73045228677274
131.8359375,-79.71154870804557,64.17609784066238
134.27734375,-81.68187023970674,69.19744944611153
136.71875,-84.68054495911444,103.3757870367178
139.16015625,-82.93759991495669,132.0276032055295
141.6015625,-87.20334285297996,124.9962651760792
144.04296875,-89.1491435525716,165.744843789031
146.484375,-80.59356877047921,145.628487101933
148.92578125,-78.36324123316889,134.4096506361097
151.3671875,-79.5688067179008,111.4435092638564
153.80859375,-79.28691203068026,72.52494526166103
156.25,-78.58372618478873,69.44353447323886
158.69140625,-83.04193579329191,101.654549555251
161.1328125,-86.51171069832294,9.51248478482087
163.57421875,-85.60079152293378,57.89776388686446
166.015625,-94.97620557398145,117.1272797242227
168.45703125,-85.08677195918351,41.02194769722344
170.8984375,-81.45991605800725,47.30646816189282
173.33984375,-86.69829336172002,46.3953780437583
175.78125,-91.7930847908809,94.05288548883489
178.22265625,-82.68870488294091,99.05955459419491
180.6640625,-80.59127773538347,109.6414062626129
183.10546875,-82.98301785642506,114.6091873467085
185.546875,-88.0430667195199,138.2737299659462
187.98828125,-85.69410293738224,174.0764284754855
190.4296875,-83.25474903823408,6.248104511677792
192.87109375,-84.70050488456451,32.69707733967462
195.3125,-84.27209636265673,80.76906538701358
197.75390625,-82.17139363403061,97.68563040506854
200.1953125,-82.08112547782676,87.55342755628376
202.63671875,-83.27252310723951,63.92466329277736
205.078125,-86.99390968780249,20.52749438216516
207.51953125,-90.99272929901545,127.3949432813722
209.9609375,-88.46951704063665,6.84600261314351
212.40234375,-82.26522602224156,155.2654335905003
214.84375,-86.8654617688135,143.3016933647694
217.28515625,-90.86781399395633,147.5413168008295
219.7265625,-84.38381220165967,110.9288660928529
222.16796875,-82.25364856120869,66.41893186190123
224.609375,-82.82766622451383,54.92106309700029
227.05078125,-89.33132199752461,72.55565642880168
229.4921875,-96.16572347760881,177.8308472334691
231.93359375,-89.6477375488813,40.77746745101944
234.375,-89.99312784806547,46.99678583883088
236.81640625,-97.82603912161342,60.95612676929922
239.2578125,-92.89896876299625,179.1270580967231
241.69921875,-87.60172383344195,3.229889499238153
244.140625,-94.67804378926357,0.5438715368837714
246.58203125,-92.5991321140452,34.12016696236063
249.0234375,-86.03764981979445,52.65456306686115
251.46484375,-85.73047430930116,64.60888813218477
253.90625,-91.16188977528971,61.99033800002542
256.34765625,-104.6915801556683,136.9805336381876
258.7890625,-91.53021553002259,108.4836328579872
261.23046875,-93.79713952670707,142.2053792547105
263.671875,-89.05760410225133,87.76176493949127
266.11328125,-82.72938742895512,100.143485243901
268.5546875,-82.74899923922176,93.67297026800588
270.99609375,-85.61209486907279,85.50811134298651
273.4375,-88.46310705615993,89.61345535816612
275.87890625,-86.86524072600504,92.94106053106604
278.3203125,-87.90862252475343,86.07383581251372
280.76171875,-105.2168923967282,98.07282862187857
283.203125,-104.3931686206946,159.0713901095212
285.64453125,-90.7817294453323,74.80087883771546
288.0859375,-94.24921748042571,68.04329320975471
290.52734375,-87.81479081994442,20.23272952245126
292.96875,-81.38503538062733,24.9243134198591
295.41015625,-82.00226188419862,31.87617856900567
297.8515625,-85.72119258642024,28.59420741338545
300.29296875,-88.19279103626968,22.53689173964267
302.734375,-87.89008712659475,81.20493838270795
305.17578125,-81.64469014563966,123.7628893247481
307.6171875,-80.47643066917757,137.6796200390014
310.05859375,-86.11423857584386,153.3826361181679
312.5,-91.86628851382018,74.25398283833519
314.94140625,-91.56830738783458,78.02414353203146
317.3828125,-87.19792936489301,157.8346078998054
319.82421875,-81.10908230306777,162.5772686416129
322.265625,-77.61093312655026,1.170332780311147
324.70703125,-75.32922265411975,2.671742649509504
327.1484375,-76.87348095460189,172.9615758009871
329.58984375,-85.46650501155307,116.7665130274971
332.03125,-78.84210356535053,27.46183875438281
334.47265625,-76.25736976418332,8.73008406413163
336.9140625,-78.36253179982128,177.3442606334119
339.35546875,-85.51000392560455,176.6522577159638
341.796875,-89.72511085217077,66.28793029087471
344.23828125,-83.52461562956069,66.77813593776338
346.6796875,-80.54476967734033,48.77915269564159
349.12109375,-79.70190378044734,46.22002711468544
351.5625,-81.76338867758302,70.13799525116694
354.00390625,-81.31092033594751,109.6785905892956
356.4453125,-79.11362528621495,116.7619467789718
358.88671875,-78.96679170925051,120.1803378262268
361.328125,-81.6213700277423,138.2389055028212
363.76953125,-87.5269720317591,158.7624948592584
366.2109375,-91.9543296321157,92.90230157676689
368.65234375,-82.21579256869246,75.67303374281336
371.09375,-80.33702537587013,78.4175659749158
373.53515625,-83.80000107689779,70.54986022831228
375.9765625,-85.1209597540028,45.7488266405805
378.41796875,-84.60931419627653,48.46934331317697
380.859375,-92.61746524074474,51.6918871034947
383.30078125,-88.2221641822447,86.67891874721903
385.7421875,-82.42324241879969,66.70894915156356
388.18359375,-80.41351168968927,38.91511216966368
390.625,-79.39677357294441,17.62341797172115
393.06640625,-80.07094735455632,172.167183023139
395.5078125,-81.40713225150451,140.5544908850906
397.94921875,-81.9551454897063,126.5860002083212
400.390625,-80.69520780557271,128.6718959580085
402.83203125,-80.6249701449277,120.8494289555368
405.2734375,-83.73011134005623,100.1070709262037
407.71484375,-87.55794556756918,64.88913353164955
410.15625,-91.02244903576056,25.22805157048453
412.59765625,-91.79650494499643,148.5226203478445
415.0390625,-90.28140358882196,142.1693460992549
417.48046875,-88.9867510807799,177.8429359722479
419.921875,-87.23559075094923,35.38062865267243
422.36328125,-84.77721435725796,70.96916116384125
424.8046875,-84.53547523723807,84.63674516057756
427.24609375,-95.46253690256414,112.2194879628932
429.6875,-85.24412787604278,53.82317112388903
432.12890625,-81.20443342607476,60.87102217666234
434.5703125,-83.21170562834438,77.83161944404041
437.01171875,-89.18877037096095,74.37515691328844
439.453125,-86.32997015074957,176.4497042230229
441.89453125,-82.77359800940749,158.7290543109264
444.3359375,-83.71662818372889,149.6554759900639
446.77734375,-85.48456134516593,146.8322892209911
449.21875,-86.62813273097473,154.9296492509731
451.66015625,-85.8512604564383,7.977449134333352
454.1015625,-83.64029677151606,31.60235468079408
456.54296875,-86.26543139439646,43.41445755421478
458.984375,-90.39660561899285,62.68292583941134
461.42578125,-86.62982560003597,62.58036308796544
463.8671875,-82.49240933758699,69.83703545475844
466.30859375,-80.34990504665863,90.55080081533181
468.75,-79.20755396652643,111.8003012541705
471.19140625,-78.91371541564327,127.5993239966106
473.6328125,-79.75506052781215,131.0925079317184
476.07421875,-83.05842888011439,114.6207654779285
478.515625,-86.68499110976954,71.60858518528707
480.95703125,-88.77799736134128,50.18082802170289
483.3984375,-92.99674077375238,62.00762972514677
485.83984375,-91.2949588238686,57.54901294347291
488.28125,-87.20605256517523,35.68511662810131
490.72265625,-86.89619983152966,7.547787525984886
493.1640625,-90.91057436378905,132.6775390688946
495.60546875,-87.34071144983254,36.63145412879474
498.046875,-84.30396524318928,10.35609520648515
500.48828125,-86.10967646135333,5.881720574833451
502.9296875,-87.93804273133597,24.46791868397728
505.37109375,-93.2039908282151,101.5471452695004
507.8125,-84.49356752467713,167.1553287853543
510.25390625,-83.78769878139479,162.9096607171807
512.6953125,-89.84111881446056,115.5962280125567
515.13671875,-87.83095442432034,19.19144610904203
517.578125,-85.87810973235401,170.6573582461947
520.01953125,-87.3807200772702,169.5341431834249
522.4609375,-84.19692587605864,3.73255826522552
524.90234375,-80.43072917601103,4.970385955285824
527.34375,-80.62487172546193,6.928830956643118
529.78515625,-86.83227888012595,12.94961505506236
532.2265625,-93.15492430472392,154.9203374351372
534.66796875,-82.98603679350094,156.2226744099987
537.109375,-82.37287751834685,143.5531800450593
539.55078125,-85.56697347358849,121.0623161936057
541.9921875,-85.2015598436345,123.4867070448537
544.43359375,-81.0118461702971,152.0033239107426
546.875,-79.56951033605635,162.6559640518277
549.31640625,-81.93374705680162,161.0092714818695
551.7578125,-85.97423639975132,165.0172525602848
554.19921875,-86.01365570856488,45.49524630770499
556.640625,-80.47801499785146,69.87732233472286
559.08203125,-81.63121577650585,68.12511077522574
561.5234375,-93.69757072195689,167.5108981067194
563.96484375,-82.03042317204641,99.96531383378966
566.40625,-81.55555689022081,109.5798049876361
568.84765625,-83.04121825897661,135.9648760927002
571.2890625,-81.70247767349522,144.8832105828368
573.73046875,-82.47007430639903,152.3980399435944
576.171875,-90.2145783962083,176.1954383772173
578.61328125,-90.45637635501859,155.3853194431201
581.0546875,-81.79897048464011,159.7093009834745
583.49609375,-80.10821659472759,163.2450219276535
585.9375,-84.13024305206196,3.114730586631036
588.37890625,-94.96881251076921,41.40166302560144
590.8203125,-98.48051597731781,133.9669456364096
593.26171875,-85.6730947410712,140.7335241614918
595.703125,-82.63693883449916,141.7859367171615
598.14453125,-84.5809912897454,123.3730606953834
600.5859375,-83.4294982394657,78.56803990230786
603.02734375,-79.99444444782486,64.86864984671141
605.46875,-78.17698994198931,58.94132192320282
607.91015625,-76.93999455883188,47.99150374528546
610.3515625,-76.59025774818042,42.20154833919543
612.79296875,-79.92580156056916,41.90287026191244
615.234375,-93.99086511616316,175.1286571995494
617.67578125,-84.0915961228705,69.06322911589014
620.1171875,-80.75810626226411,54.21273592001157
622.55859375,-82.69965990976092,38.70873561751909
625,-88.09501788215024,162.5922542764455
627.44140625,-83.78306647351221,134.7274079949242
629.8828125,-82.49768338788067,162.8058287136139
632.32421875,-83.1161367079923,24.90414860604973
634.765625,-86.60939902268154,69.31983300579408
637.20703125,-91.73153347964873,0.4809970217040407
639.6484375,-82.69852848880667,55.02894219733785
642.08984375,-80.87840138508244,59.10034539795981
644.53125,-83.77407114493253,45.89077393859802
646.97265625,-92.22006623478012,14.8314716436862
649.4140625,-104.6368364857992,25.16580260559289
651.85546875,-85.46335124247457,93.33653636379724
654.296875,-78.55141994678161,82.45539470045625
656.73828125,-80.39322188940429,84.48782980175618
659.1796875,-92.57613377406972,148.1027882293872
661.62109375,-83.10152131397567,43.11732486261627
664.0625,-82.89093497407808,48.59300903569959
666.50390625,-95.11479982818643,11.59190259484729
668.9453125,-82.31023128457012,89.51796954470346
671.38671875,-77.17980109067095,95.67920946875346
673.828125,-75.88403903890847,113.1288596010053
676.26953125,-76.80995680605265,128.1660607442663
678.7109375,-79.48526381950664,127.2460510668946
681.15234375,-82.1101110717149,120.8908327160451
683.59375,-86.19329379349182,170.1891156010199
686.03515625,-82.49743819719444,25.64413853530899
688.4765625,-86.68819295686851,170.7128383633344
690.91796875,-87.81806299213555,73.55803207649487
693.359375,-86.84729642986431,39.56664227201311
695.80078125,-88.25906871248732,24.72892719234141
698.2421875,-82.97792288217414,165.7807970347756
700.68359375,-80.31119086544993,145.6128668396819
703.125,-86.79060388364518,106.9850431215095
705.56640625,-90.61932530699059,13.61631464941669
708.0078125,-94.92034896404151,3.16853679830927
710.44921875,-86.74379869089131,145.1460768539445
712.890625,-86.98821957341856,77.92000175481971
